QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 105.00 (QQQ1820G105-3),73.95,0.0,73.28,74.57,0,5,2018 Jul 20 105.00 (QQQ1820S105-3),0.10,0.0,0.0,0.52,0,678,
2018 Jul 20 105.00 (QQQ1820G105-4),0.0,0.0,72.11,75.62,0,5,2018 Jul 20 105.00 (QQQ1820S105-4),0.21,0.0,0.0,0.52,0,678,
2018 Jul 20 105.00 (QQQ1820G105-8),57.22,0.0,72.09,75.80,0,5,2018 Jul 20 105.00 (QQQ1820S105-8),0.01,0.0,0.0,1.88,0,678,
2018 Jul 20 105.00 (QQQ1820G105-A),0.0,0.0,72.09,75.84,0,5,2018 Jul 20 105.00 (QQQ1820S105-A),0.0,0.0,0.0,0.0,0,678,
2018 Jul 20 105.00 (QQQ1820G105-B),0.0,0.0,71.50,76.41,0,5,2018 Jul 20 105.00 (QQQ1820S105-B),0.09,0.0,0.0,2.13,0,678,
2018 Jul 20 105.00 (QQQ1820G105-E),73.79,0.0,72.09,75.84,0,5,2018 Jul 20 105.00 (QQQ1820S105-E),0.0,0.0,0.0,1.88,0,678,
2018 Jul 20 105.00 (QQQ1820G105-I),74.22,0.0,73.28,74.57,0,5,2018 Jul 20 105.00 (QQQ1820S105-I),0.0,0.0,0.0,0.75,0,678,
2018 Jul 20 105.00 (QQQ1820G105-J),0.0,0.0,71.50,76.41,0,5,2018 Jul 20 105.00 (QQQ1820S105-J),0.0,0.0,0.0,0.52,0,678,
2018 Jul 20 105.00 (QQQ1820G105-K),0.0,0.0,71.50,76.41,0,5,2018 Jul 20 105.00 (QQQ1820S105-K),0.0,0.0,0.0,5.00,0,678,
2018 Jul 20 105.00 (QQQ1820G105-O),0.0,0.0,71.50,76.41,0,5,2018 Jul 20 105.00 (QQQ1820S105-O),0.01,0.0,0.0,0.31,0,678,
2018 Jul 20 105.00 (QQQ1820G105-OG),0.0,0.0,71.84,76.09,0,5,2018 Jul 20 105.00 (QQQ1820S105-OG),0.01,0.0,0.0,2.13,0,678,
2018 Jul 20 105.00 (QQQ1820G105-P),0.0,0.0,72.09,75.84,0,5,2018 Jul 20 105.00 (QQQ1820S105-P),0.40,0.0,0.0,0.0,0,678,
2018 Jul 20 105.00 (QQQ1820G105-S),0.0,0.0,72.09,75.84,0,5,2018 Jul 20 105.00 (QQQ1820S105-S),0.0,0.0,0.0,1.88,0,678,
2018 Jul 20 105.00 (QQQ1820G105-X),0.0,0.0,71.50,76.41,0,5,2018 Jul 20 105.00 (QQQ1820S105-X),0.01,0.0,0.0,0.51,0,678,
