USO (UNITED STATES OIL FUND),14.15,+0.02,
Jul 22 2018 @ 03:03 ET,Bid,14.14,Ask,14.15,Size,0x0,Vol,22809485,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 3.00 (USO1820G3-8),0.0,0.0,10.85,11.55,0,1,2018 Jul 20 3.00 (USO1820S3-8),0.0,0.0,0.0,0.11,0,0,
2018 Jul 20 3.00 (USO1820G3-A),0.0,0.0,9.90,12.25,0,1,2018 Jul 20 3.00 (USO1820S3-A),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-B),10.25,0.0,11.10,11.20,0,1,2018 Jul 20 3.00 (USO1820S3-B),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-E),0.0,0.0,6.90,11.20,0,1,2018 Jul 20 3.00 (USO1820S3-E),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-I),0.0,0.0,11.10,11.20,0,1,2018 Jul 20 3.00 (USO1820S3-I),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-J),0.0,0.0,10.95,11.40,0,1,2018 Jul 20 3.00 (USO1820S3-J),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-K),0.0,0.0,8.70,13.50,0,1,2018 Jul 20 3.00 (USO1820S3-K),0.0,0.0,0.0,5.00,0,0,
2018 Jul 20 3.00 (USO1820G3-O),12.00,0.0,11.10,11.20,0,1,2018 Jul 20 3.00 (USO1820S3-O),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-OG),0.0,0.0,11.10,11.45,0,1,2018 Jul 20 3.00 (USO1820S3-OG),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-P),10.00,0.0,11.10,11.20,0,1,2018 Jul 20 3.00 (USO1820S3-P),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-S),0.0,0.0,10.90,11.40,0,1,2018 Jul 20 3.00 (USO1820S3-S),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-X),0.0,0.0,11.05,11.20,0,1,2018 Jul 20 3.00 (USO1820S3-X),0.0,0.0,0.0,0.06,0,0,
2018 Jul 20 3.00 (USO1820G3-Y),0.0,0.0,10.70,11.60,0,1,2018 Jul 20 3.00 (USO1820S3-Y),0.0,0.0,0.0,2.13,0,0,
2018 Jul 20 4.00 (USO1820G4),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-3),0.0,0.0,10.05,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-3),0.0,0.0,0.0,0.11,0,0,
2018 Jul 20 4.00 (USO1820G4-4),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-4),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-8),0.0,0.0,9.85,10.45,0,0,2018 Jul 20 4.00 (USO1820S4-8),0.0,0.0,0.0,0.11,0,0,
2018 Jul 20 4.00 (USO1820G4-A),0.0,0.0,8.90,10.50,0,0,2018 Jul 20 4.00 (USO1820S4-A),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-B),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-B),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-E),0.0,0.0,10.10,10.45,0,0,2018 Jul 20 4.00 (USO1820S4-E),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-I),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-I),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-J),0.0,0.0,10.10,10.30,0,0,2018 Jul 20 4.00 (USO1820S4-J),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-K),0.0,0.0,7.70,12.50,0,0,2018 Jul 20 4.00 (USO1820S4-K),0.0,0.0,0.0,5.00,0,0,
2018 Jul 20 4.00 (USO1820G4-O),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-O),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-OG),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-OG),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-P),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-P),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-S),0.0,0.0,9.90,10.40,0,0,2018 Jul 20 4.00 (USO1820S4-S),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-X),0.0,0.0,10.10,10.20,0,0,2018 Jul 20 4.00 (USO1820S4-X),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 4.00 (USO1820G4-Y),0.0,0.0,7.50,12.50,0,0,2018 Jul 20 4.00 (USO1820S4-Y),0.0,0.0,0.0,2.13,0,0,
2018 Jul 20 5.00 (USO1820G5),0.0,0.0,9.10,9.20,0,0,2018 Jul 20 5.00 (USO1820S5),0.03,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-3),0.0,0.0,9.05,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-3),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-4),0.0,0.0,9.05,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-4),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-8),0.0,0.0,8.80,9.65,0,0,2018 Jul 20 5.00 (USO1820S5-8),0.0,0.0,0.0,0.09,0,10,
2018 Jul 20 5.00 (USO1820G5-A),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 5.00 (USO1820S5-A),0.0,0.0,0.0,0.0,0,10,
2018 Jul 20 5.00 (USO1820G5-B),0.0,0.0,9.10,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-B),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-E),0.0,0.0,9.10,9.45,0,0,2018 Jul 20 5.00 (USO1820S5-E),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-I),0.0,0.0,9.10,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-I),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-J),0.0,0.0,9.05,9.40,0,0,2018 Jul 20 5.00 (USO1820S5-J),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-K),0.0,0.0,6.70,11.50,0,0,2018 Jul 20 5.00 (USO1820S5-K),0.0,0.0,0.0,5.00,0,10,
2018 Jul 20 5.00 (USO1820G5-O),0.0,0.0,9.10,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-O),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-OG),0.0,0.0,9.10,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-OG),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-P),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 5.00 (USO1820S5-P),0.0,0.0,0.0,0.0,0,10,
2018 Jul 20 5.00 (USO1820G5-S),0.0,0.0,8.90,9.40,0,0,2018 Jul 20 5.00 (USO1820S5-S),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-X),0.0,0.0,9.05,9.20,0,0,2018 Jul 20 5.00 (USO1820S5-X),0.03,0.0,0.0,0.03,0,10,
2018 Jul 20 5.00 (USO1820G5-Y),0.0,0.0,6.50,11.50,0,0,2018 Jul 20 5.00 (USO1820S5-Y),0.0,0.0,0.0,0.03,0,10,
2018 Jul 20 6.00 (USO1820G6),7.45,0.0,8.10,8.20,0,3,2018 Jul 20 6.00 (USO1820S6),0.01,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-3),0.0,0.0,8.05,8.20,0,3,2018 Jul 20 6.00 (USO1820S6-3),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-4),0.0,0.0,8.05,8.20,0,3,2018 Jul 20 6.00 (USO1820S6-4),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-8),0.0,0.0,7.85,8.65,0,3,2018 Jul 20 6.00 (USO1820S6-8),0.01,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-A),0.0,0.0,0.0,0.0,0,3,2018 Jul 20 6.00 (USO1820S6-A),0.0,0.0,0.0,0.0,0,126,
2018 Jul 20 6.00 (USO1820G6-B),0.0,0.0,8.10,8.20,0,3,2018 Jul 20 6.00 (USO1820S6-B),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-E),7.40,0.0,3.90,12.45,0,3,2018 Jul 20 6.00 (USO1820S6-E),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-I),0.0,0.0,8.10,8.20,0,3,2018 Jul 20 6.00 (USO1820S6-I),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-J),0.0,0.0,7.90,8.40,0,3,2018 Jul 20 6.00 (USO1820S6-J),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-K),0.0,0.0,5.70,10.50,0,3,2018 Jul 20 6.00 (USO1820S6-K),0.0,0.0,0.0,5.00,0,126,
2018 Jul 20 6.00 (USO1820G6-O),7.45,0.0,8.10,8.20,0,3,2018 Jul 20 6.00 (USO1820S6-O),0.05,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-OG),7.35,0.0,5.70,10.70,0,3,2018 Jul 20 6.00 (USO1820S6-OG),0.0,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-P),4.30,0.0,0.0,0.0,0,3,2018 Jul 20 6.00 (USO1820S6-P),0.04,0.0,0.0,0.0,0,126,
2018 Jul 20 6.00 (USO1820G6-S),0.0,0.0,7.90,8.40,0,3,2018 Jul 20 6.00 (USO1820S6-S),0.04,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-X),0.0,0.0,8.05,8.20,0,3,2018 Jul 20 6.00 (USO1820S6-X),0.02,0.0,0.0,0.01,0,126,
2018 Jul 20 6.00 (USO1820G6-Y),0.0,0.0,5.50,10.50,0,3,2018 Jul 20 6.00 (USO1820S6-Y),0.0,0.0,0.0,0.01,0,126,
